source_file,width_px,height_px,area_px,width_tiles,height_tiles,area_tiles,total_chips,passed_chips,skipped_chips,coverage_ratio,total_Building_px,total_Clutter_px,total_Vegetation_px,total_Water_px,total_Background_px,total_Car_px,distribution_Building,distribution_Clutter,distribution_Vegetation,distribution_Water,distribution_Background,distribution_Car
c6d131e346_536DE05ED2OPENPIPELINE,3822,3249,12417678,14.9296875,12.69140625,189.47872924804688,672,391,281,0.5818452380952381,11002,677674,688908,87884,24138502,20606,0.00042935344569213554,0.02644625222286605,0.026884659476902172,0.003429676260789642,0.9420059087026454,0.0008041498911045396
1476907971_CHADGRISMOPENPIPELINE,8695,5351,46526945,33.96484375,20.90234375,709.9448394775391,2640,2148,492,0.8136363636363636,2361715,967689,9227737,9156110,118803235,254842,0.01677696043330642,0.006874191028445793,0.06555125344842949,0.06504243534592499,0.8439448337093189,0.0018103260345743134
6f93b9026b_F1BFB8B17DOPENPIPELINE,3918,4682,18344076,15.3046875,18.2890625,279.90838623046875,1015,595,420,0.5862068965517241,15269647,179982,2706996,0,19220819,1616476,0.3915904582047663,0.00461564264377626,0.06942097639837184,0.0,0.4929183575285583,0.04145456522452731
420d6b69b8_84B52814D2OPENPIPELINE,9555,9364,89473020,37.32421875,36.578125,1365.2499389648438,5256,1512,3744,0.2876712328767123,1935056,1428352,43354148,27924,51732220,612732,0.019528182095320767,0.014414630869708995,0.4375210312939195,0.0002818031916542659,0.5220707888325686,0.006183563716827877
74d7796531_EB81FE6E2BOPENPIPELINE,5924,21211,125653964,23.140625,82.85546875,1917.3273315429688,7380,970,6410,0.13143631436314362,7597480,937448,18028568,0,36188804,817620,0.11951375745006443,0.014746722978414948,0.2836021816607603,0.0,0.5692755944950064,0.012861743415753865
2ef3a4994a_0CCD105428INSPIRE,3249,2675,8691075,12.69140625,10.44921875,132.6152801513672,456,329,127,0.7214912280701754,864272,2325652,62208,7520,18007264,294428,0.04008432869490881,0.10786210729720745,0.0028851633738601824,0.00034877232142857144,0.8351642643427052,0.013655363969889818
57426ebe1e_84B52814D2OPENPIPELINE,3822,3822,14607684,14.9296875,14.9296875,222.89556884765625,784,500,284,0.6377551020408163,197778,470428,13289641,402732,18399433,7988,0.00603570556640625,0.0143563232421875,0.4055676574707031,0.0122904052734375,0.5615061340332032,0.0002437744140625
b705d0cc9c_E5F5E0E316OPENPIPELINE,5924,7453,44151572,23.140625,29.11328125,673.6995239257812,2565,213,2352,0.08304093567251462,0,130248,561740,0,13260712,6468,0.0,0.009330642055457746,0.040241653370745305,0.0,0.9499643531763498,0.0004633513974471831
84410645db_8D20F02042OPENPIPELINE,11752,10415,122397080,45.90625,40.68359375,1867.6312255859375,7200,3459,3741,0.48041666666666666,12180,25679,88314127,4716676,133610854,9508,5.372999444384215e-05,0.00011327853262097065,0.3895827219230517,0.020806812419819673,0.5894015142082927,4.1942921771104364e-05
e87da4ebdb_29FEA32BC7INSPIRE,12230,13185,161252550,47.7734375,51.50390625,2460.5186462402344,9588,5062,4526,0.5279516061743846,0,2135520,13278668,16243856,300085188,0,0.0,0.006437267723972738,0.04002694469438339,0.048965146634852824,0.9045706409467911,0.0
d06b2c67d2_2A62B67B52OPENPIPELINE,5351,6879,36809529,20.90234375,26.87109375,561.6688385009766,2080,1888,192,0.9076923076923077,0,145912,16397692,152088,107006996,29280,0.0,0.0011792587021649894,0.1325259127859342,0.0012291730460474047,0.864829014923613,0.0002366405422404661
1d4fbe33f3_F1BE1D4184INSPIRE,2962,5542,16415404,11.5703125,21.6484375,250.47918701171875,924,323,601,0.3495670995670996,6243599,113210,2636682,342023,11807352,25262,0.2949528177456221,0.005348134705156733,0.12455905406467686,0.01615745142886513,0.5577891441321594,0.001193397923519737
5fa39d6378_DB9FF730D9OPENPIPELINE,9077,9077,82391929,35.45703125,35.45703125,1257.2010650634766,4761,2393,2368,0.5026254988447805,5869716,279296,71615767,187756,78850973,24140,0.0374278137487594,0.0017809104680317593,0.4566526879240069,0.0011972123690843085,0.5027874485498883,0.00015392694022931466
7008b80b00_FF24A4975DINSPIRE,5159,4395,22673805,20.15234375,17.16796875,345.9748077392578,1287,465,822,0.3613053613053613,0,0,13722340,1713064,15038836,0,0.0,0.0,0.45029310000840056,0.05621351016465054,0.4934933898269489,0.0
39e77bedd0_729FB913CDOPENPIPELINE,6306,6497,40970082,24.6328125,25.37890625,625.1538391113281,2352,1478,874,0.6284013605442177,52416,17416691,7387342,0,71970491,35268,0.0005411398426928281,0.179808940551923,0.07626650426965283,0.0,0.7430193104827839,0.00036410485294739514
1726eb08ef_60693DB04DINSPIRE,2867,3440,9862480,11.19921875,13.4375,150.489501953125,525,34,491,0.06476190476190476,527649,87895,15804,23500,1542579,30797,0.2368024938246783,0.03944621366613051,0.007092644186580882,0.010546515969669117,0.6922908109777114,0.013821321375229779
1553541487_APIGENERATED,5351,9364,50106764,20.90234375,36.578125,764.5685424804688,2880,1280,1600,0.4444444444444444,5938830,6408420,4234216,15504140,51260066,540408,0.07079637050628662,0.07639431953430176,0.050475788116455075,0.18482375144958496,0.6110676050186157,0.00644216537475586
130a76ebe1_68B40B480AOPENPIPELINE,5733,8217,47108061,22.39453125,32.09765625,718.8119659423828,2709,1822,887,0.6725729051310446,268880,4816284,3071480,1395696,109782204,72048,0.0022518019775658615,0.04033516005548504,0.025722867963604554,0.011688600910743687,0.9193981853196178,0.0006033837729829858
551063e3c5_8FCB044F58INSPIRE,1147,1529,1753763,4.48046875,5.97265625,26.760299682617188,70,17,53,0.24285714285714285,630376,130156,36276,0,302300,15004,0.5658102596507353,0.11682487936580882,0.03256046070772059,0.0,0.27133717256433826,0.01346722771139706
3502e187b2_23071E4605OPENPIPELINE,5064,8217,41610888,19.78125,32.09765625,634.9317626953125,2394,869,1525,0.3629908103592314,124188,169362,3186519,26314813,27139414,16488,0.0021806196732954545,0.002973830878254459,0.05595215335402582,0.46206234843053257,0.47654153452918224,0.00028951313470943613
ec09336a6f_06BA0AF311OPENPIPELINE,7262,4968,36077616,28.3671875,19.40625,550.500732421875,2035,1278,757,0.628009828009828,2402772,1668272,26653212,0,52876664,154088,0.028688099462661387,0.019918474606318466,0.3182282783615757,0.0,0.6313254008643877,0.0018397467050567293
25f1c24f30_EB81FE6E2BOPENPIPELINE,6115,11561,70695515,23.88671875,45.16015625,1078.7279510498047,4094,3071,1023,0.7501221299462628,26527187,2412124,51997568,6272,113206644,7111261,0.13180486839937877,0.011985050898272143,0.2583588153288831,3.116350537284272e-05,0.5624865845879294,0.03533351728016373
1df70e7340_4413A67E91INSPIRE,4777,3057,14603289,18.66015625,11.94140625,222.82850646972656,792,556,236,0.702020202020202,0,4315840,901704,33612,31007924,178936,0.0,0.11844333127248201,0.0247462430446268,0.0009224431977855216,0.8509772870180418,0.004910695467063849
107f24d6e9_F1BE1D4184INSPIRE,11084,12326,136621384,43.296875,48.1484375,2084.6768798828125,8075,3198,4877,0.39603715170278636,28066870,509114,12736160,5183589,162923709,164686,0.13391696340669462,0.0024291629564620466,0.06076872386061601,0.02473273644080529,0.7773666381835938,0.0007857751518282911
888432f840_80E7FD39EBINSPIRE,12421,7835,97318535,48.51953125,30.60546875,1484.9629974365234,5760,2695,3065,0.4678819444444444,0,1367220,86793068,1145364,87313868,0,0.0,0.007741046969213822,0.4914126592575951,0.006484923070790816,0.49436137070240027,0.0
f0747ed88d_E74C0DD8FDOPENPIPELINE,1433,1529,2191057,5.59765625,5.97265625,33.43287658691406,100,31,69,0.31,78319,24899,620769,0,1283556,24073,0.03855010001890121,0.012255760931199598,0.3055542976625504,0.0,0.6317906533518145,0.011849188035534274
d9161f7e18_C05BA1BC72OPENPIPELINE,3440,3153,10846320,13.4375,12.31640625,165.501708984375,575,421,154,0.7321739130434782,474500,447576,16277675,40044,10257065,93796,0.01719785133053741,0.016222013713628265,0.5899705682967451,0.001451360924510095,0.3717586490150869,0.00339955671949228
f971256246_MIKEINSPIRE,4586,4682,21471652,17.9140625,18.2890625,327.63140869140625,1190,178,1012,0.1495798319327731,3474825,75159,834593,0,7280831,0,0.29787427923652565,0.006442895096339537,0.07154426146089361,0.0,0.6241385642062413,0.0
cc4b443c7d_A9CBEF2C97INSPIRE,2866,3440,9859040,11.1953125,13.4375,150.43701171875,525,129,396,0.24571428571428572,7638118,165971,3534,0,642440,4081,0.9034762123758479,0.01963191069373789,0.0004180198492005814,0.0,0.07599113523498062,0.00048272184623304265
7c719dfcc0_310490364FINSPIRE,3440,4395,15118800,13.4375,17.16796875,230.694580078125,825,462,363,0.56,2460653,398978,1126442,0,26237287,54272,0.0812696646818351,0.013177318490428842,0.037203768115022996,0.0,0.8665567703577347,0.001792478354978355
f56b6b2232_2A62B67B52OPENPIPELINE,2484,2293,5695812,9.703125,8.95703125,86.91119384765625,288,57,231,0.19791666666666666,1785859,65950,41037,0,1802200,40506,0.47807097853275765,0.017654686643366228,0.010985525030838815,0.0,0.48244543242872806,0.01084337736430921
c8a7031e5f_32156F5DC2INSPIRE,5733,5159,29576547,22.39453125,20.15234375,451.3022918701172,1677,727,950,0.43351222420989866,8921932,7363636,1180056,0,29828204,350844,0.1872598052516764,0.15455318907432083,0.024767848123710454,0.0,0.6260553960787053,0.007363761471587001
fc5837dcf8_7CD52BE09EINSPIRE,4395,4777,20994915,17.16796875,18.66015625,320.3569793701172,1188,432,756,0.36363636363636365,3313820,671576,1589008,0,22286980,450168,0.11704833419234664,0.023720917878327547,0.056125782154224535,0.0,0.7872044598614728,0.015900505913628474
2ef883f08d_F317F9C1DFOPENPIPELINE,6115,7644,46743060,23.88671875,29.859375,713.2424926757812,2668,1205,1463,0.4516491754122939,0,61465,56533159,1291749,21078879,5628,0.0,0.0007783248711423755,0.7158734839981522,0.016357282583149637,0.2669196417717518,7.126677580394191e-05
f4dd768188_NOLANOPENPIPELINE,4873,4873,23746129,19.03515625,19.03515625,362.33717346191406,1369,449,920,0.3279766252739226,5908635,95844,6071353,0,16037255,1312577,0.20079869735479886,0.0032571567458936526,0.20632849610462486,0.0,0.5450091117739942,0.044606538020688334
c2e8370ca3_3340CAC7AEOPENPIPELINE,3344,2102,7029088,13.0625,8.2109375,107.25537109375,375,232,143,0.6186666666666667,0,153651,71081,0,14979620,0,0.0,0.010105724992423222,0.004675043040308459,0.0,0.9852192319672683,0.0
ebffe540d0_7BA042D858OPENPIPELINE,2389,2867,6849263,9.33203125,11.19921875,104.51145935058594,357,124,233,0.3473389355742297,84887,187036,741340,0,7113201,0,0.010445748606035787,0.023015668315272176,0.09122540873865928,0.0,0.8753131743400328,0.0
520947aa07_8FCB044F58OPENPIPELINE,4968,4968,24681024,19.40625,19.40625,376.6025390625,1369,594,775,0.4338933528122717,135784,1028938,181635,468740,36988523,124764,0.00348804615162037,0.02643156212186974,0.004665875675702336,0.012041085496896043,0.9501684683340567,0.003204962219854798
2552eb56dd_2AABB46C86OPENPIPELINE,1051,3631,3816181,4.10546875,14.18359375,58.23030090332031,189,43,146,0.2275132275132275,599417,0,399665,0,1797704,21262,0.21270645496457122,0.0,0.14182334722474563,0.0,0.6379252589026163,0.007544938908066861
1d056881e8_29FEA32BC7INSPIRE,9937,10701,106335837,38.81640625,41.80078125,1622.5561065673828,6232,3415,2817,0.5479781771501926,144008,6290324,21202556,2330336,193690200,148016,0.0006434517409407027,0.028106215827461565,0.09473655332059847,0.01041232956625183,0.865440089391929,0.000661360152818448
f9f43e5144_1DB9E6F68BINSPIRE,12039,6688,80516832,47.02734375,26.125,1228.58935546875,4743,4292,451,0.9049125026354627,6793280,13230660,82649684,11268276,166191880,1146732,0.02415126434354613,0.04703724373197955,0.2938336659455455,0.040060635270743536,0.5908403636580412,0.004076827050144164
c644f91210_27E21B7F30OPENPIPELINE,4682,9364,43842248,18.2890625,36.578125,668.9796142578125,2520,1045,1475,0.4146825396825397,7146259,167796,35038399,2014307,23966222,152137,0.10434761594927482,0.0024501088703648326,0.5116206118935033,0.029412330736954248,0.34994787188808313,0.002221460661819677
b61673f780_4413A67E91INSPIRE,4204,3822,16067688,16.421875,14.9296875,245.1734619140625,868,434,434,0.5,0,1090284,19792,13568,27318980,0,0.0,0.03833275017101095,0.0006958570348502304,0.00047703052995391705,0.9604943622641849,0.0
c37dbfae2f_84B52814D2OPENPIPELINE,12039,3631,43713609,47.02734375,14.18359375,667.0167388916016,2511,1138,1373,0.4532058940661091,1025276,1168648,44582572,197236,27496160,110076,0.013747337622885545,0.015669730509940687,0.5977821283055526,0.0026446243581118188,0.3686802332765817,0.001475945926927724
15efe45820_D95DF0B1F4INSPIRE,13854,12039,166788306,54.1171875,47.02734375,2544.987579345703,9951,1413,8538,0.14199577931866145,49729439,1140577,1185664,10914,37893373,2642401,0.5370212455042186,0.012316931247373717,0.012803819444444444,0.00011785875713243099,0.40920522680370336,0.028534918243127434
dabec5e872_E8AD935CEDINSPIRE,9364,9746,91261544,36.578125,38.0703125,1392.5406494140625,5400,682,4718,0.1262962962962963,2997307,716095,1376191,87582,39368869,149508,0.06706052092163443,0.016021616647669996,0.03079033457288994,0.0019595238470262095,0.8808229731674418,0.00334503084333761
9170479165_625EDFBAB6OPENPIPELINE,3440,3631,12490640,13.4375,14.18359375,190.592041015625,675,426,249,0.6311111111111111,840032,3919624,61168,60452,22952676,84384,0.030088899281103285,0.14039604652655516,0.00219096152435446,0.0021653152967282866,0.8221362476617518,0.0030225297095070425
12fa5e614f_53197F206FOPENPIPELINE,5829,5637,32858073,22.76953125,22.01953125,501.37440490722656,1892,440,1452,0.23255813953488372,26449,237131,1468109,283119,26586633,234399,0.0009172266179865057,0.008223481611772016,0.05091264898126775,0.009818302501331677,0.9219996018843217,0.008128738403320313
8710b98ea0_06E6522D6DINSPIRE,8408,8217,69088536,32.84375,32.09765625,1054.2073974609375,4032,2115,1917,0.5245535714285714,8461821,5203509,17055610,995963,106630616,261121,0.06104829395916445,0.0375410147592531,0.1230486786393691,0.007185432307827275,0.7692927078716016,0.0018838724627844266
11cdce7802_B6A62F8BE0INSPIRE,8408,3822,32135376,32.84375,14.9296875,490.346923828125,1792,764,1028,0.4263392857142857,0,1089508,11540892,827804,36491372,119928,0.0,0.021759911981552683,0.23049743013232166,0.016533097671588677,0.7288143297764643,0.002395230438072644
34fbf7c2bd_E8AD935CEDINSPIRE,19109,1911,36517299,74.64453125,7.46484375,557.2097625732422,1924,694,1230,0.3607068607068607,324314,322558,2862575,48298,41728713,195526,0.007130603625382745,0.0070919949314436235,0.06293865720545525,0.0010619149771478747,0.917477852329397,0.004298976931173451
b771104de5_7E02A41EBEOPENPIPELINE,2293,3344,7667792,8.95703125,13.0625,117.001220703125,400,169,231,0.4225,1135591,244957,223208,0,9391057,80771,0.1025310268063517,0.02211684729220599,0.020153158515162722,0.0,0.8479062593900241,0.0072927079962555475
a1af86939f_F1BE1D4184OPENPIPELINE,2102,1911,4016922,8.2109375,7.46484375,61.293365478515625,195,144,51,0.7384615384615385,3197282,1108149,1263866,31920,3762120,73847,0.3387961917453342,0.11742369333902995,0.13392406039767796,0.0033823649088541665,0.39864857991536456,0.00782510969373915
1553627230_APIGENERATED,4013,12230,49078990,15.67578125,47.7734375,748.8859558105469,2820,901,1919,0.31950354609929077,0,319832,9515816,28368,49127040,56880,0.0,0.005416480603149278,0.16115408335356549,0.000480423227663707,0.831985727663707,0.0009632851519145394
1553541585_APIGENERATED,8026,8217,65949642,31.3515625,32.09765625,1006.3116760253906,3843,1672,2171,0.4350767629456154,249456,2198796,23632912,28008,83071560,395460,0.002276552921276914,0.02006636624130906,0.21567560953386664,0.0002556029689369019,0.7581168726870888,0.0036089956475216806
